word,phonetic,meaning,part_of_speech,level
tongue,/tʌŋ/,舌头；语言,n.,B1
total,/ˈtoʊtəl/,总数；总的,"adj., n.",B1
totally,/ˈtoʊtəli/,完全地,adv.,B1
touch,/tʌtʃ/,触摸；接触,n.,B1
tour,/tʊr/,旅行；参观,v.,B1
trade,/treɪd/,贸易；交易,"n., v.",B1
trainer,/ˈtreɪnər/,教练；训练员,n.,B1
translate,/trænzˈleɪt/,翻译,v.,B1
translation,/trænzˈleɪʃən/,翻译；译文,n.,B1
transport,/ˈtrænspɔrt/,运输；交通,v.,B1
treat,/triːt/,对待；治疗,v.,B1
treatment,/ˈtriːtmənt/,治疗；处理,n.,B1
trend,/trɛnd/,趋势,n.,B1
trick,/trɪk/,把戏；技巧,"n., v.",B1
truth,/truːθ/,事实；真相,n.,B1
tube,/tuːb/,管子；管,n.,B1
type,/taɪp/,类型；打字,v.,B1
typically,/ˈtɪpɪkli/,通常；典型地,adv.,B1
ugly,/ˈʌɡli/,丑陋的,adj.,B1
unable,/ʌnˈeɪbəl/,不能的；无法的,adj.,B1
uncomfortable,/ʌnˈkʌmfərtəbəl/,不舒服的；不自在的,adj.,B1
underwear,/ˈʌndərwɛr/,内衣,n.,B1
unemployed,/ˌʌnɪmˈplɔɪd/,失业的,adj.,B1
unemployment,/ˌʌnɪmˈplɔɪmənt/,失业,n.,B1
unfair,/ʌnˈfɛr/,不公平的,adj.,B1
union,/ˈjuːnjən/,联盟；工会,n.,B1
unless,/ənˈlɛs/,除非,conj.,B1
unlike,/ʌnˈlaɪk/,不像；不同于,prep.,B1
unlikely,/ʌnˈlaɪkli/,不太可能的,adj.,B1
unnecessary,/ʌnˈnɛsəˌsɛri/,不必要的,adj.,B1
unpleasant,/ʌnˈplɛzənt/,令人不愉快的,adj.,B1
update,/ˌʌpˈdeɪt/,更新,"v., n.",B1
upon,/əˈpɑn/,在……之上；一……就,prep.,B1
upset,/ʌpˈsɛt/,难过的；使烦恼,"adj., v.",B1
used1,/juːzd/,使用过的；旧的,adj.,B1
used2,/juːst/,习惯于,adj.,B1
valuable,/ˈvæljuəbəl/,有价值的,adj.,B1
value,/ˈvæljuː/,价值；重视,n.,B1
various,/ˈvɛriəs/,各种各样的,adj.,B1
version,/ˈvɝːʒən/,版本,n.,B1
victim,/ˈvɪktəm/,受害者,n.,B1
view,/vjuː/,观点；看法；景色,v.,B1
viewer,/ˈvjuːər/,观众；观看者,n.,B1
violent,/ˈvaɪələnt/,暴力的；猛烈的,adj.,B1
volunteer,/ˌvɑlənˈtɪr/,志愿者；自愿做,"n., v.",B1
vote,/voʊt/,投票；选票,"n., v.",B1
warm,/wɔrm/,温暖的,v.,B1
warn,/wɔrn/,警告,v.,B1
warning,/ˈwɔrnɪŋ/,警告,n.,B1
waste,/weɪst/,浪费；废物,"n., v., adj.",B1
water,/ˈwɔtər/,水,v.,B1
wave,/weɪv/,波浪；挥手,v.,B1
weapon,/ˈwɛpən/,武器,n.,B1
weigh,/weɪ/,称重；有……重,v.,B1
western,/ˈwɛstərn/,西方的,adj.,B1
whatever,/wʌtˈɛvər/,无论什么；任何,det./pron.,B1
whenever,/wɛnˈɛvər/,无论何时,conj.,B1
whether,/ˈwɛðər/,是否,conj.,B1
while,/waɪl/,当……时候；虽然,n.,B1
whole,/hoʊl/,全部的；整体,n.,B1
will,/wɪl/,将；会,n.,B1
win,/wɪn/,赢；获胜,n.,B1
wing,/wɪŋ/,翅膀,n.,B1
within,/wɪˈðɪn/,在……之内,prep.,B1
wonder,/ˈwʌndər/,想知道；奇迹,"v., n.",B1
wool,/wʊl/,羊毛,n.,B1
worldwide,/ˌwɝːldˈwaɪd/,全世界的,"adj., adv.",B1
worry,/ˈwɝːi/,担心,n.,B1
worse,/wɝːs/,更糟的,adv.,B1
worst,/wɝːst/,最糟的,adv.,B1
worth,/wɝːθ/,值得；价值,adj.,B1
written,/ˈrɪtən/,书面的；写下的,adj.,B1
wrong,/rɔŋ/,错误的；不对的,adv.,B1
young,/jʌŋ/,年轻的,n.,B1
youth,/juːθ/,青年；青春,n.,B1
sailor,/ˈseɪlər/,水手,n.,B1
sample,/ˈsæmpəl/,样品；样本,n.,B1
sand,/sænd/,沙；沙子,n.,B1
scan,/skæn/,扫描,v.,B1
scientific,/ˌsaɪənˈtɪfɪk/,科学的,adj.,B1
script,/skrɪpt/,剧本；脚本,n.,B1
sculpture,/ˈskʌlptʃər/,雕塑,n.,B1
secondary,/ˈsɛkənˌdɛri/,次要的；中等的,adj.,B1
security,/sɪˈkjʊrəti/,安全；保障,n.,B1
seed,/siːd/,种子,n.,B1
sensible,/ˈsɛnsəbəl/,明智的；合理的,adj.,B1
separate,/ˈsɛpərət/,分开的；分离,v.,B1
seriously,/ˈsɪriəsli/,认真地；严重地,adv.,B1
servant,/ˈsɝːvənt/,仆人,n.,B1
set,/sɛt/,设置；放置；一套,(put) v.,B1
setting,/ˈsɛtɪŋ/,设置；环境,n.,B1
sex,/sɛks/,性别；性,n.,B1
sexual,/ˈsɛkʃuəl/,性的,adj.,B1
shake,/ʃeɪk/,摇动；握手,n.,B1
share,/ʃɛr/,分享；份额,n.,B1
sharp,/ʃɑrp/,锋利的；尖锐的,adj.,B1
shelf,/ʃɛlf/,架子；搁板,n.,B1
shell,/ʃɛl/,壳；外壳,n.,B1
shift,/ʃɪft/,转移；改变,n.,B1
shine,/ʃaɪn/,发光；照耀,v.,B1
shiny,/ˈʃaɪni/,有光泽的,adj.,B1
shoot,/ʃuːt/,射击；拍摄,v.,B1
shy,/ʃaɪ/,害羞的,adj.,B1
sight,/saɪt/,视力；景象,n.,B1
signal,/ˈsɪɡnəl/,信号；示意,"n., v.",B1
silent,/ˈsaɪlənt/,安静的；无声的,adj.,B1
silly,/ˈsɪli/,愚蠢的,adj.,B1
similarity,/ˌsɪməˈlærəti/,相似；相似之处,n.,B1
similarly,/ˈsɪmələrli/,类似地,adv.,B1
simply,/ˈsɪmpli/,简单地；仅仅,adv.,B1
since,/sɪns/,自从；因为,adv.,B1
sink,/sɪŋk/,下沉；水槽,v.,B1
slave,/sleɪv/,奴隶,n.,B1
slice,/slaɪs/,薄片；切片,"n., v.",B1
slightly,/ˈslaɪtli/,稍微,adv.,B1
slow,/sloʊ/,慢的,v.,B1
smooth,/smuːð/,光滑的；顺利的,adj.,B1
software,/ˈsɔftwɛr/,软件,n.,B1
soil,/sɔɪl/,土壤,n.,B1
solid,/ˈsɑlɪd/,固体；坚固的,"adj., n.",B1
sort,/sɔrt/,种类；分类,v.,B1
southern,/ˈsʌðərn/,南方的,adj.,B1
specifically,/spəˈsɪfɪkli/,具体地；特别地,adv.,B1
spending,/ˈspɛndɪŋ/,花费；支出,n.,B1
spicy,/ˈspaɪsi/,辛辣的,adj.,B1
spirit,/ˈspɪrət/,精神；灵魂,n.,B1
spoken,/ˈspoʊkən/,口头的；说过的,adj.,B1
spot,/spɑt/,地点；斑点,n.,B1
spread,/sprɛd/,传播；展开,v.,B1
spring,/sprɪŋ/,春天；弹簧,v.,B1
stadium,/ˈsteɪdiəm/,体育场,n.,B1
staff,/stæf/,员工；工作人员,n.,B1
standard,/ˈstændərd/,标准；标准的,"n., adj.",B1
state,/steɪt/,状态；州,"adj., v.",B1
statistic,/stəˈtɪstɪk/,统计数据,n.,B1
statue,/ˈstætʃuː/,雕像,n.,B1
stick,/stɪk/,棍子；粘住,(push into/attach) v.,B1
still,/stɪl/,仍然；静止的,adj.,B1
store,/stɔr/,商店；储存,v.,B1
stranger,/ˈstreɪndʒər/,陌生人,n.,B1
strength,/strɛŋθ/,力量；强度,n.,B1
string,/strɪŋ/,绳子；线,n.,B1
strongly,/ˈstrɔŋli/,强烈地,adv.,B1
properly,/ˈprɑpərli/,正确地；适当地,adv.,B1
property,/ˈprɑpərti/,财产；属性,n.,B1
protest,/ˈproʊtɛst/,抗议,"n., v.",B1
proud,/praʊd/,自豪的,adj.,B1
prove,/pruːv/,证明,v.,B1
pull,/pʊl/,拉；拖,n.,B1
punish,/ˈpʌnɪʃ/,惩罚,v.,B1
punishment,/ˈpʌnɪʃmənt/,惩罚,n.,B1
push,/pʊʃ/,推；推动,n.,B1
qualification,/ˌkwɑləfəˈkeɪʃən/,资格；资历,n.,B1
qualified,/ˈkwɑləˌfaɪd/,有资格的,adj.,B1
qualify,/ˈkwɑləˌfaɪ/,取得资格；使合格,v.,B1
quit,/kwɪt/,放弃；离开,v.,B1
quotation,/kwoʊˈteɪʃən/,引文；报价,n.,B1
quote,/kwoʊt/,引用；报价,"v., n.",B1
race,/reɪs/,比赛；种族,(of people) n.,B1
racing,/ˈreɪsɪŋ/,赛车；竞赛,n.,B1
raise,/reɪz/,提高；筹集,n.,B1
range,/reɪndʒ/,范围；一系列,n.,B1
rare,/rɛr/,罕见的,adj.,B1
rarely,/ˈrɛrli/,很少,adv.,B1
reaction,/riˈækʃən/,反应,n.,B1
reality,/riˈæləti/,现实,n.,B1
receipt,/rɪˈsiːt/,收据,n.,B1
recommendation,/ˌrɛkəmɛnˈdeɪʃən/,推荐；建议,n.,B1
reference,/ˈrɛfərəns/,参考；提及,n.,B1
reflect,/rɪˈflɛkt/,反映；反射,v.,B1
regularly,/ˈrɛɡjələrli/,定期地；经常地,adv.,B1
reject,/rɪˈdʒɛkt/,拒绝,v.,B1
relate,/rɪˈleɪt/,涉及；联系,v.,B1
related,/rɪˈleɪtɪd/,相关的,adj.,B1
relation,/rɪˈleɪʃən/,关系,n.,B1
relative,/ˈrɛlətɪv/,亲戚；相对的,"adj., n.",B1
relaxed,/rɪˈlækst/,放松的,adj.,B1
relaxing,/rɪˈlæksɪŋ/,令人放松的,adj.,B1
release,/rɪˈliːs/,释放；发布,"v., n.",B1
reliable,/rɪˈlaɪəbəl/,可靠的,adj.,B1
religion,/rɪˈlɪdʒən/,宗教,n.,B1
religious,/rɪˈlɪdʒəs/,宗教的,adj.,B1
remain,/rɪˈmeɪn/,保持；留下,v.,B1
remind,/rɪˈmaɪnd/,提醒,v.,B1
remote,/rɪˈmoʊt/,遥远的；远程的,adj.,B1
rent,/rɛnt/,租金；租用,"n., v.",B1
repair,/rɪˈpɛr/,修理,n.,B1
repeat,/rɪˈpiːt/,重复,n.,B1
repeated,/rɪˈpiːtɪd/,重复的,adj.,B1
represent,/ˌrɛprɪˈzɛnt/,代表,v.,B1
request,/rɪˈkwɛst/,请求,v.,B1
require,/rɪˈkwaɪr/,需要；要求,v.,B1
reservation,/ˌrɛzərˈveɪʃən/,预订,n.,B1
resource,/ˈriːsɔrs/,资源,n.,B1
respect,/rɪˈspɛkt/,尊重；尊敬,"n., v.",B1
responsibility,/rɪˌspɑnsəˈbɪləti/,责任,n.,B1
responsible,/rɪˈspɑnsəbəl/,负责的,adj.,B1
result,/rɪˈzʌlt/,结果,v.,B1
retire,/rɪˈtaɪr/,退休,v.,B1
retired,/rɪˈtaɪrd/,退休的,adj.,B1
revise,/rɪˈvaɪz/,修改；复习,v.,B1
ring2,/rɪŋ/,戒指；铃声,n.,B1
risk,/rɪsk/,风险,"n., v.",B1
robot,/ˈroʊbɑt/,机器人,n.,B1
roll,/roʊl/,滚动；卷,"v., n.",B1
romantic,/roʊˈmæntɪk/,浪漫的,adj.,B1
rope,/roʊp/,绳子,n.,B1
rough,/rʌf/,粗糙的；艰难的,adj.,B1
row1,/roʊ/,排；行,n.,B1
royal,/ˈrɔɪəl/,皇家的,adj.,B1
rule,/ruːl/,规则；统治,v.,B1
safety,/ˈseɪfti/,安全,n.,B1
sail,/seɪl/,航行；帆,n.,B1
painful,/ˈpeɪnfəl/,疼痛的；痛苦的,adj.,B1
pale,/peɪl/,苍白的,adj.,B1
pan,/pæn/,平底锅,n.,B1
participate,/pɑrˈtɪsəˌpeɪt/,参加,v.,B1
particularly,/pərˈtɪkjələrli/,尤其；特别,adv.,B1
pass,/pæs/,通过；经过,n.,B1
passion,/ˈpæʃən/,热情；激情,n.,B1
path,/pæθ/,小路；路径,n.,B1
payment,/ˈpeɪmənt/,付款,n.,B1
peaceful,/ˈpiːsfəl/,和平的；宁静的,adj.,B1
percentage,/pərˈsɛntɪdʒ/,百分比,n.,B1
perfectly,/ˈpɝːfɪktli/,完美地；完全地,adv.,B1
performance,/pərˈfɔrməns/,表现；表演,n.,B1
personally,/ˈpɝːsənəli/,亲自；个人而言,adv.,B1
persuade,/pərˈsweɪd/,说服,v.,B1
photographer,/fəˈtɑɡrəfər/,摄影师,n.,B1
photography,/fəˈtɑɡrəfi/,摄影,n.,B1
pin,/pɪn/,别针；固定,"n., v.",B1
pipe,/paɪp/,管子,n.,B1
place,/pleɪs/,地方；放置,v.,B1
planning,/ˈplænɪŋ/,计划；规划,n.,B1
pleasant,/ˈplɛzənt/,令人愉快的,adj.,B1
pleasure,/ˈplɛʒər/,快乐；乐趣,n.,B1
plenty,/ˈplɛnti/,大量；充足,pron.,B1
plot,/plɑt/,情节；阴谋,n.,B1
plus1,/plʌs/,加；加号,prep.,B1
poem,/ˈpoʊəm/,诗；诗歌,n.,B1
poet,/ˈpoʊət/,诗人,n.,B1
poetry,/ˈpoʊətri/,诗歌,n.,B1
point,/pɔɪnt/,点；要点；观点,v.,B1
poison,/ˈpɔɪzən/,毒药；毒物,"n., v.",B1
poisonous,/ˈpɔɪzənəs/,有毒的,adj.,B1
policy,/ˈpɑləsi/,政策；方针,n.,B1
political,/pəˈlɪtɪkəl/,政治的,adj.,B1
politician,/ˌpɑləˈtɪʃən/,政治家；政客,n.,B1
politics,/ˈpɑlətɪks/,政治,n.,B1
port,/pɔrt/,港口,n.,B1
portrait,/ˈpɔrtrət/,肖像；画像,n.,B1
possibly,/ˈpɑsəbli/,可能；也许,adv.,B1
pot,/pɑt/,锅；罐,n.,B1
pour,/pɔr/,倒；倾倒,v.,B1
poverty,/ˈpɑvərti/,贫穷；贫困,n.,B1
powder,/ˈpaʊdər/,粉末,n.,B1
powerful,/ˈpaʊərfəl/,强大的,adj.,B1
practical,/ˈpræktɪkəl/,实际的；实用的,adj.,B1
pray,/preɪ/,祈祷,v.,B1
prayer,/prɛr/,祷告；祈祷,n.,B1
prediction,/prɪˈdɪkʃən/,预测,n.,B1
prepared,/prɪˈpɛrd/,准备好的,adj.,B1
presentation,/ˌprɛzənˈteɪʃən/,演示；介绍,n.,B1
press,/prɛs/,按；新闻界,"n., v.",B1
pressure,/ˈprɛʃər/,压力,n.,B1
pretend,/prɪˈtɛnd/,假装,v.,B1
previous,/ˈpriːviəs/,以前的,adj.,B1
previously,/ˈpriːviəsli/,以前；先前,adv.,B1
priest,/priːst/,牧师；神父,n.,B1
primary,/ˈpraɪˌmɛri/,主要的；初级的,adj.,B1
prince,/prɪns/,王子,n.,B1
princess,/ˈprɪnsɛs/,公主,n.,B1
principal,/ˈprɪnsəpəl/,主要的；校长,n.,B1
printing,/ˈprɪntɪŋ/,印刷,n.,B1
prisoner,/ˈprɪzənər/,囚犯,n.,B1
private,/ˈpraɪvət/,私人的,adj.,B1
producer,/prəˈduːsər/,制片人；生产者,n.,B1
production,/prəˈdʌkʃən/,生产；制作,n.,B1
profession,/prəˈfɛʃən/,职业,n.,B1
profit,/ˈprɑfɪt/,利润；获利,n.,B1
program,/ˈproʊɡræm/,项目；程序；节目,v.,B1
promote,/prəˈmoʊt/,促进；晋升,v.,B1
proper,/ˈprɑpər/,适当的；正确的,adj.,B1
living,/ˈlɪvɪŋ/,生活；生存,"adj., n.",B1
local,/ˈloʊkəl/,当地的,n.,B1
locate,/ˈloʊkeɪt/,确定……的位置,v.,B1
located,/ˈloʊkeɪtɪd/,位于,adj.,B1
location,/loʊˈkeɪʃən/,位置；地点,n.,B1
lonely,/ˈloʊnli/,孤独的,adj.,B1
loss,/lɔs/,损失；失去,n.,B1
luxury,/ˈlʌɡʒəri/,奢侈；奢侈品,n.,B1
mad,/mæd/,疯狂的；生气的,adj.,B1
magic,/ˈmædʒɪk/,魔法；神奇的,"n., adj.",B1
mainly,/ˈmeɪnli/,主要地,adv.,B1
management,/ˈmænɪdʒmənt/,管理,n.,B1
market,/ˈmɑrkɪt/,市场,v.,B1
marketing,/ˈmɑrkətɪŋ/,市场营销,n.,B1
marriage,/ˈmærɪdʒ/,婚姻,n.,B1
meanwhile,/ˈmiːnwaɪl/,与此同时,adv.,B1
measure,/ˈmɛʒər/,测量；措施,"v., n.",B1
medium,/ˈmiːdiəm/,中等的；媒介,adj.,B1
mental,/ˈmɛntəl/,精神的；心理的,adj.,B1
mention,/ˈmɛnʃən/,提到,n.,B1
mess,/mɛs/,混乱；弄乱,n.,B1
mild,/maɪld/,温和的,adj.,B1
mine,/maɪn/,我的；矿,(hole in the ground) n.,B1
mix,/mɪks/,混合,"v., n.",B1
mixture,/ˈmɪkstʃər/,混合物,n.,B1
mood,/muːd/,情绪；心情,n.,B1
move,/muːv/,移动；搬家,n.,B1
mud,/mʌd/,泥；泥浆,n.,B1
murder,/ˈmɝːdər/,谋杀,"n., v.",B1
muscle,/ˈmʌsəl/,肌肉,n.,B1
musical,/ˈmjuːzɪkəl/,音乐的；音乐剧,n.,B1
mystery,/ˈmɪstəri/,神秘；谜,n.,B1
nail,/neɪl/,指甲；钉子,n.,B1
narrative,/ˈnærətɪv/,叙述；故事,"n., adj.",B1
nation,/ˈneɪʃən/,国家；民族,n.,B1
native,/ˈneɪtɪv/,本地的；本国的,"adj., n.",B1
naturally,/ˈnætʃərəli/,自然地；当然,adv.,B1
neat,/niːt/,整洁的,adj.,B1
necessarily,/ˌnɛsəˈsɛrəli/,必然地；必要地,adv.,B1
need,/niːd/,需要,modal v.,B1
needle,/ˈniːdəl/,针,n.,B1
neither,/ˈniːðər/,两者都不,adv.,B1
net,/nɛt/,网；净额,n.,B1
next,/nɛkst/,下一个的；接下来,n.,B1
nor,/nɔr/,也不,conj./adv.,B1
normal,/ˈnɔrməl/,正常的,n.,B1
northern,/ˈnɔrðərn/,北方的,adj.,B1
note,/noʊt/,笔记；注意,v.,B1
now,/naʊ/,现在,conj.,B1
nuclear,/ˈnuːkliər/,核的,adj.,B1
obvious,/ˈɑbviəs/,明显的,adj.,B1
obviously,/ˈɑbviəsli/,明显地,adv.,B1
occasion,/əˈkeɪʒən/,场合；时机,n.,B1
occur,/əˈkɝː/,发生,v.,B1
odd,/ɑd/,奇怪的；奇数的,adj.,B1
official,/əˈfɪʃəl/,官方的；官员,adj.,B1
old-fashioned,/ˌoʊldˈfæʃənd/,老式的；过时的,adj.,B1
once,/wʌns/,一次；曾经,conj.,B1
operation,/ˌɑpəˈreɪʃən/,操作；手术,n.,B1
organized,/ˈɔrɡənaɪzd/,有组织的,adj.,B1
organizer,/ˈɔrɡənaɪzər/,组织者,n.,B1
original,/əˈrɪdʒənəl/,原来的；原创的,n.,B1
originally,/əˈrɪdʒənəli/,原来；起初,adv.,B1
ought,/ɔt/,应该,modal v.,B1
ours,/aʊərz/,我们的,pron.,B1
outdoor,/ˈaʊtdɔr/,户外的,adj.,B1
outdoors,/ˌaʊtˈdɔrz/,在户外,adv.,B1
overseas,/ˌoʊvərˈsiːz/,海外的；在海外,adj.,B1
pack,/pæk/,包；打包,n.,B1
package,/ˈpækɪdʒ/,包裹；包装,n.,B1
honest,/ˈɑnɪst/,诚实的,adj.,B1
horrible,/ˈhɔrəbəl/,可怕的；糟糕的,adj.,B1
horror,/ˈhɔrər/,恐怖；恐怖片,n.,B1
host,/hoʊst/,主人；主持人,n.,B1
hunt,/hʌnt/,打猎；寻找,v.,B1
hurricane,/ˈhɝːəkeɪn/,飓风,n.,B1
hurry,/ˈhɝːi/,匆忙；赶快,"n., v.",B1
identity,/aɪˈdɛntəti/,身份；特征,n.,B1
ignore,/ɪɡˈnɔr/,忽视,v.,B1
illegal,/ɪˈliːɡəl/,非法的,adj.,B1
imaginary,/ɪˈmædʒəˌnɛri/,想象的；虚构的,adj.,B1
immediate,/ɪˈmiːdiət/,立即的；直接的,adj.,B1
immigrant,/ˈɪməɡrənt/,移民,n.,B1
impact,/ˈɪmpækt/,影响；冲击,"n., v.",B1
import,/ˈɪmpɔrt/,进口；进口商品,"n., v.",B1
importance,/ɪmˈpɔrtəns/,重要性,n.,B1
impression,/ɪmˈprɛʃən/,印象,n.,B1
impressive,/ɪmˈprɛsɪv/,令人印象深刻的,adj.,B1
improvement,/ɪmˈpruːvmənt/,改善；进步,n.,B1
incredibly,/ɪnˈkrɛdəbli/,难以置信地；非常,adv.,B1
indeed,/ɪnˈdiːd/,确实；的确,adv.,B1
indicate,/ˈɪndəkeɪt/,表明；指出,v.,B1
indirect,/ˌɪndəˈrɛkt/,间接的,adj.,B1
indoor,/ˈɪndɔr/,室内的,adj.,B1
indoors,/ˌɪnˈdɔrz/,在室内,adv.,B1
influence,/ˈɪnfluəns/,影响；影响力,"n., v.",B1
ingredient,/ɪnˈɡriːdiənt/,成分；原料,n.,B1
injure,/ˈɪndʒər/,伤害,v.,B1
injured,/ˈɪndʒərd/,受伤的,adj.,B1
innocent,/ˈɪnəsənt/,无辜的,adj.,B1
intelligence,/ɪnˈtɛlədʒəns/,智力；情报,n.,B1
intend,/ɪnˈtɛnd/,打算,v.,B1
intention,/ɪnˈtɛnʃən/,意图；目的,n.,B1
invest,/ɪnˈvɛst/,投资,v.,B1
investigate,/ɪnˈvɛstəɡeɪt/,调查,v.,B1
involved,/ɪnˈvɑlvd/,涉及的；参与的,adj.,B1
iron,/ˈaɪərn/,铁；熨斗,"n., v.",B1
issue,/ˈɪʃuː/,问题；发行,n.,B1
IT,/ˌaɪ ˈtiː/,信息技术,n.,B1
journal,/ˈdʒɝːnəl/,杂志；日志,n.,B1
journey,/ˈdʒɝːni/,旅行；旅程,n.,B1
judge,/dʒʌdʒ/,法官；判断,"n., v.",B1
key,/kiː/,钥匙；关键,v.,B1
keyboard,/ˈkiːbɔrd/,键盘,n.,B1
kick,/kɪk/,踢,"v., n.",B1
killing,/ˈkɪlɪŋ/,杀戮；谋杀,n.,B1
kind,/kaɪnd/,种类；友善的,(caring) adj.,B1
kiss,/kɪs/,吻；亲吻,"v., n.",B1
knock,/nɑk/,敲；撞,n.,B1
label,/ˈleɪbəl/,标签,"n., v.",B1
laboratory,/ˈlæbrətɔri/,实验室,n.,B1
lack,/læk/,缺乏；缺少,"n., v.",B1
latest,/ˈleɪtəst/,最新的,adj.,B1
lay,/leɪ/,放置；铺放,v.,B1
layer,/ˈleɪər/,层,n.,B1
lead1,/liːd/,带领；领导,n.,B1
leading,/ˈliːdɪŋ/,主要的；领先的,adj.,B1
leaf,/liːf/,叶子,n.,B1
leather,/ˈlɛðər/,皮革,n.,B1
legal,/ˈliːɡəl/,合法的；法律的,adj.,B1
leisure,/ˈliːʒər/,闲暇；休闲,n.,B1
length,/lɛŋθ/,长度,n.,B1
level,/ˈlɛvəl/,水平；等级,adj.,B1
lie2,/laɪ/,躺；位于,"(tell a lie) v., n.",B1
like,/laɪk/,喜欢；像,(find sb/sth pleasant) n.,B1
limit,/ˈlɪmɪt/,限制；限度,"n., v.",B1
lip,/lɪp/,嘴唇,n.,B1
liquid,/ˈlɪkwɪd/,液体,"n., adj.",B1
literature,/ˈlɪtərətʃər/,文学,n.,B1
live2,/laɪv/,活着；现场直播,"adj., adv.",B1
fashionable,/ˈfæʃənəbəl/,时髦的,adj.,B1
fasten,/ˈfæsən/,系牢；固定,v.,B1
favor,/ˈfeɪvər/,喜爱；帮助,n.,B1
fear,/fɪr/,害怕；恐惧,v.,B1
feature,/ˈfiːtʃər/,特点；特征,v.,B1
federal,/ˈfɛdərəl/,联邦的,adj.,B1
fence,/fɛns/,栅栏,n.,B1
fighting,/ˈfaɪtɪŋ/,战斗；打架,n.,B1
file,/faɪl/,文件；档案,n.,B1
financial,/faɪˈnænʃəl/,金融的；财务的,adj.,B1
fitness,/ˈfɪtnəs/,健康；健身,n.,B1
fixed,/fɪkst/,固定的；确定的,adj.,B1
flag,/flæɡ/,旗帜,n.,B1
flood,/flʌd/,洪水；淹没,"n., v.",B1
flour,/flaʊər/,面粉,n.,B1
flow,/floʊ/,流动；流量,"v., n.",B1
fold,/foʊld/,折叠,v.,B1
folk,/foʊk/,人们；民间的,"n., adj.",B1
following,/ˈfɑloʊɪŋ/,接下来的；以下的,n.,B1
force,/fɔrs/,力量；迫使,"n., v.",B1
forever,/fərˈɛvər/,永远,adv.,B1
frame,/freɪm/,框架；画框,"n., v.",B1
freeze,/friːz/,冻结,v.,B1
frequently,/ˈfriːkwəntli/,经常地,adv.,B1
friendship,/ˈfrɛndʃɪp/,友谊,n.,B1
frighten,/ˈfraɪtən/,使害怕,v.,B1
frightened,/ˈfraɪtənd/,害怕的,adj.,B1
frightening,/ˈfraɪtənɪŋ/,令人害怕的,adj.,B1
frozen,/ˈfroʊzən/,冻结的,adj.,B1
fry,/fraɪ/,油炸；煎,v.,B1
fuel,/ˈfjuːəl/,燃料,n.,B1
function,/ˈfʌŋkʃən/,功能；作用,n.,B1
fur,/fɝː/,毛皮,n.,B1
further,/ˈfɝːðər/,进一步的；更远的,adv.,B1
garage,/ɡəˈrɑʒ/,车库,n.,B1
gather,/ˈɡæðər/,聚集；收集,v.,B1
generally,/ˈdʒɛnərəli/,通常；一般地,adv.,B1
generation,/ˌdʒɛnəˈreɪʃən/,一代；世代,n.,B1
generous,/ˈdʒɛnərəs/,慷慨的,adj.,B1
gentle,/ˈdʒɛntəl/,温和的；轻柔的,adj.,B1
gentleman,/ˈdʒɛntəlmən/,绅士；先生,n.,B1
